cohort_year,n_cells,n_cells_treated_before_panel_start,share_of_all_cells
1938,688,688,0.0005930942450893004
1939,54,54,4.655100179479974e-05
1941,60,60,5.172333532755526e-05
1943,305,305,0.00026292695458173925
1945,25,25,2.1551389719814692e-05
1946,1596,1596,0.00137584071971297
1960,15,15,1.2930833831888815e-05
1971,1105,1105,0.0009525714256158095
1973,61,61,5.258539091634785e-05
1974,1161,1161,0.0010008465385881943
1975,951,951,0.0008198148649417509
1976,214,214,0.00018447989600161376
1977,25366,25366,0.02186690206531278
1978,1443,1443,0.001243946214627704
1979,5942,5942,0.005122334308605556
1980,305,305,0.00026292695458173925
1981,68,68,5.8619780037895965e-05
1982,944,944,0.0008137804758202027
1983,523,523,0.0004508550729385234
1984,5147,5147,0.004437000115515449
1985,703,703,0.0006060250789211892
1986,126,126,0.00010861900418786605
1987,7149,7149,0.006162835404278209
1988,6011,6011,0.005181816144232245
1989,60376,60376,0.052047468228941275
1990,23,23,1.9827278542229516e-05
1991,3,3,2.586166766377763e-06
1992,345,345,0.0002974091781334428
1993,375,375,0.0003232708457972204
1995,147,147,0.00012672217155251038
1996,69,69,5.9481835626688554e-05
1997,123,123,0.00010603283742148829
1998,925,925,0.0007974014196331437
1999,316,316,0.0002724095660584577
2000,106,106,9.13778924120143e-05
2001,85,0,7.327472504736995e-05
2002,11294,0,0.009736055819823486
2003,93,0,8.017116975771066e-05
2004,41,0,3.53442791404961e-05
2005,1104,0,0.0009517093700270169
2006,773,0,0.0006663689701366703
2007,4207,0,0.0036266678620504164
2008,2662,0,0.0022947919773658684
2009,14394,0,0.012408428145080507
2010,1118,0,0.0009637781482701131
2011,12195,0,0.010512767905325607
2012,897,0,0.0007732638631469512
2013,1730,0,0.0014913561686111768
2014,368,0,0.00031723645667567225
2018,11890,0,0.010249840950743867
2019,9,0,7.758500299133289e-06
2020,24879,0,0.02144708099357079
2021,2119,0,0.0018266957926514934
2024,10865,0,0.009366233972231465
2025,2850,0,0.002456858428058875
